configuration_name,aircraft_name,length_in_m,wingspan_in_m,seating_capacity,range_in_km,maximum_cruising_altitude_in_ft,economy_class_has_wi_fi,economy_class_has_usb_port,economy_class_has_ski_fi,economy_class_has_power_outlet,economy_class_has_personal_screen,economy_class_has_overhead_screen,economy_class_has_ife_streaming,economy_class_seats,economy_class_seat_width_in_inches,economy_class_seat_pitch_in_inches,economy_class_abreast,cruising_speed_in_kmh,business_class_has_wi_fi,business_class_has_usb_port,business_class_has_ski_fi,business_class_has_power_outlet,business_class_has_personal_screen,business_class_has_ife_streaming,business_class_seats,business_class_seat_width_in_inches,business_class_seat_pitch_in_inches,business_class_abreast,economy_class_has_prayer_area,business_class_has_prayer_area,first_class_has_wi_fi,first_class_has_usb_port,first_class_has_prayer_area,first_class_has_power_outlet,first_class_has_personal_screen,first_class_has_ife_streaming,first_class_seats,first_class_seat_width_in_inches,first_class_seat_pitch_in_inches,first_class_abreast,saudia_first_suite_has_usb_port,saudia_first_suite_has_prayer_area,saudia_first_suite_has_power_outlet,saudia_first_suite_has_personal_screen,saudia_first_suite_has_gsm,saudia_first_suite_seats,saudia_first_suite_seat_width_in_inches,saudia_first_suite_seat_pitch_in_inches,saudia_first_suite_abreast,first_class_has_gsm,economy_class_has_gsm,business_class_has_gsm,saudia_first_suite_has_wi_fi
AIRBUS A320CEO - (32N),Airbus A320-214,3757,3580,"12 Business Class, 132 Guest Class",6100,40050,True,True,True,True,False,True,True,132,16.3,30,3-3,828,True,True,True,True,True,True,12,21,45,2-2,False,False,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
AIRBUS A320-214 (STANDARD CONFIGURATION) – (320),Airbus A320-214,3757,3410,"12 Business Class, 120 Guest Class",5900,36100,False,False,False,False,False,True,False,120,17.17,32,3-3,828,False,True,False,True,True,False,12,21,45,2-2,False,False,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
AIRBUS A320-214 (BUSINESS CONFIGURATION) – (32E),Airbus A320-214,3757,3410,"20 Business Class, 96 Guest Class",5900,36100,False,False,True,False,False,True,False,96,17.17,32,3-3,828,False,True,True,True,True,False,20,21,54,2-2,False,False,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
AIRBUS A320CEO - (RETROFIT CONFIGURATION) – (32U),Airbus A320-214,3757,3410,"20 Business Class, 90 Guest Class",5900,36100,True,True,False,True,True,False,True,90,16.3,31,3-3,828,True,True,False,True,True,True,20,20,63,2-2,False,False,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
AIRBUS A321 - (321),Airbus A321,4451,3410,"20 Business Class, 145 Guest Class",5600,36000,False,False,False,False,False,True,False,145,16.34,32,3-3,828,False,True,False,True,True,False,20,21,46,2-2,False,False,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
A330-343 (333),Airbus A330-343,6373,6030,"36 Business Class, 262 Guest Class",10830,36100,True,False,False,False,False,True,True,262,16.9,32,2-4-2,871,True,True,False,True,True,True,36,18.77,54,2-2-2,True,True,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
A330-343 (33D),Airbus A330-343,6373,6030,"36 Business Class, 252 Guest Class",10830,36100,True,False,True,False,False,True,True,252,16.9,32,2-4-2,871,True,True,False,True,True,True,36,18.77,61,2-2-2,True,True,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
A330-343 (33R),Airbus A330-343,6373,6030,"30 Business Class, 300 Guest Class",10830,36100,True,True,True,True,True,False,True,300,16.9,32,2-4-2,871,True,True,True,True,True,True,30,18.77,60,2-2-2,False,False,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
"BOEING B777-268ER (77L - BUSINESS ""SLEEPER"" CONFIGURATION)",Boeing B777-268ER,6373,6094,"24 First Class, 38 Business Class, 170 Guest Class",9700,43100,True,True,False,True,False,True,True,170,16.5,32,2-3-2,905,True,True,False,True,True,True,38,19.5,58,3-4-3,True,True,True,True,True,True,True,True,24,21,79,No,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
BOEING B777-268ER (772 - HIGH DENSITY),Boeing B777-268ER,6373,6094,"14 Business Class, 327 Guest Class",9700,43100,False,True,False,False,True,False,False,327,16.5,32,2-3-2,871,False,True,False,True,True,False,14,19.5,58,3-4-3,True,True,False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,False,False,False
